,kor,eng
0,우리는 언제나 서로를 사랑하려고 노력해요 .,We always try and show our love for each other .
1,난존은 당신의 소중한 생각들을 위한 공간입니다 .,Nan Zone is a space for your precious thoughts .
2,난존을 당신의 SNS에 공유해 주세요 .,Share Nanzon on your SNS account .
3,넌 프랑스 어느 도시에서 왔어 ?,Which city in France are you from ?
4,너는 취미가 뭐야 ?,What is your hobby ?
5,그녀는 EXO를 위해 사는 것 같아 .,She seems to live for EXO .
6,그녀는 IBM에서 근무합니다 .,She works for IBM .
7,그녀는 게이오 대학원에 다닙니다 .,She is a graduate student of keio .
8,그녀는 기모노가 너무나 잘 어울려요 .,She looks very pretty in kimono .
9,그녀는 다코타 로즈를 닮았어요 .,She looks like Dakota Rose .
10,그녀는 리키의 조카에게 들었다고 했어요 .,She said that she heard it from Ricky s nephew .
11,그녀는 문 카페에서 일합니다 .,She is working in Caf Moon .
12,그녀는 미국 영국 스페인 이탈리아에 가고 싶어 합니다 .,She wants to visit America England Spain and Italy .
13,그녀는 부산에 살면서 버스로 통학합니다 .,She lives in Busan and goes to school by bus .
14,그녀는 부산으로 내려갔습니다 .,She has gone to Busan .
15,그녀는 서울에서 부산까지 기차를 타고 가요 .,She takes a train from Seoul to Busan .
16,그녀는 서울을 떠나지 않겠다고 고집부렸어 .,She insisted on saying that she would not leave Seoul .
17,그녀는 신탄진 초등학교에 다니고 있습니다 .,She goes to Shintanjin Elementary School .
18,그녀는 안성에 살고 있습니다 .,She lives in Ansung .
19,그녀는 안재현을 가장 좋아합니다 .,She likes Ahn Jae hyun best .
20,그녀는 우송정보대학교에 다니고 있습니다 .,She is attending Woo Song University .
21,그녀는 웬디에게 말을 하고 싶었습니다 .,She wanted to talk to Wendy .
22,그녀는 천안의 유명한 호두과자를 사줘요 .,She buys me popular walnut cookies in Cheonan .
23,그녀는 편파판정 신체적 부상 등의 많은 어려움을 겪었습니다 .,She suffered many difficulties such as bias judgment and physical injury .
24,그녀는 100까지 셀 수 있어요 .,She can count up to a hundred .
25,그녀는 17명의 아이를 돌보았었어 .,She took care of 17 children .
26,그녀는 18살에 가톨릭 수녀가 되었다 .,I became a Catholic nun when she was 18 .
27,그녀는 1903년에 노벨물리학상을 받았어 .,She was awarded the Nobel Prize in physics in 1903 .
28,그녀는 1986년 파리에서 태어났습니다 .,She was born in Paris in 1986 .
29,그녀는 1월 15일에 부탄에 입국합니다 .,She will arrive Butan on 15th January .
30,그녀는 1월 1일에 스스로 목숨을 끊었습니다 .,She killed herself on January 1st .
31,그녀는 1차 시기에 1등을 했어요 .,She came in first place on the first try .
32,그녀는 1층에 잠시 내려갔어요 .,She went down to the first floor for a while .
33,그녀는 2년 전부터 지금까지 이것을 사용해오고 있습니다 .,She has been using it since two years ago from now .
34,그녀는 2달 전 한국에서 루프 시술을 받았어요 .,She had a loop surgery 2months ago in Korea .
35,그녀는 2살이고 몰티즈입니다 .,She is a 2 year old Maltese .
36,그녀는 2월 중에는 합류할 겁니다 .,She will join around February .
37,그녀는 2일 뒤에 이혼에 대해 얘기했어요 .,She talked about divorce after two days .
38,그녀는 2주 동안 운동을 하려고 합니다 .,She s trying to exercise for 2 weeks .
39,그녀는 2주 뒤에 그 남자와 결혼해요 .,She will marry him in two weeks .
40,그녀는 2차 시기에는 세계 기록을 깼습니다 .,She broke the world record at the second attempt .
41,그녀는 2회 연속 올림픽을 우승했어요 .,She won the first prize two times in a row .
42,그녀는 3번의 시상 중 2번의 과제 우수상을 받았어요 .,She received two of all three task honor awards .
43,그녀는 3월 4일에 한국으로 돌아가야 합니다 .,She needs to go back to Korea by March 4th .
44,그녀는 3월 말까지 홍콩에서 지냅니다 .,She will stay in Hongkong until the end of March .
45,그녀는 3월 초에 대학에 입학할 예정이에요 .,She is attending the university at the beginning of March .
46,그녀는 3월에 그 필름을 꼭 사용해야 합니다 .,She must use the film in March .
47,그녀는 3일 동안 저에게 연락하지 않았어요 .,She hasn t contacted me for three days .
48,그녀는 3일 후에 여자 전용 방으로 옮길 수 있어 .,She can move to the woman s room in three days .
49,그녀는 3일째 나에게 연락이 없어 .,She has not contacted me for 3 days .
50,그녀는 3층에 있었고 나는 4층에 있었어 .,She was on the 3rd floor and I was on the 4th floor .
51,그녀는 40도까지 열이 올라갔어요 .,Her fever went up to 40 degrees .
52,그녀는 4시 까지 여기로 오기로 했어요 .,She is supposed to come here by 4 o clock .
53,그녀는 4월에 그곳으로 이사할 것입니다 .,She will move there in April .
54,그녀는 4월에 한국으로 돌아올 예정입니다 .,She is expected to come back to Korea in April .
55,그녀는 4좌석을 예매할 수 있다고 말했습니다 .,She said she could make a reservation for four seats .
56,그녀는 58시간 동안 그 안에 있었다 .,She stayed there for 58hours .
57,그녀는 5년 째 관절염을 앓고 있어요 .,She has been suffering from arthritis for 5 years .
58,그녀는 5시 이후에 다른 인생을 살고 있어요 .,She has another life after 5 o clock .
59,그녀는 5월 3일에 결과를 확인할 것이에요 .,On May 3 we will see the results .
60,그녀는 5월 달에 아기를 낳을 것이에요 .,She will give birth on May .
61,그녀는 5월 중순에 한국에 올 겁니다 .,She will come to Korea around the middle of May .
62,그녀는 5월에 한국으로 오고 싶어 합니다 .,She wants to come to Korea in May .
63,그녀는 6일 만에 잃어버린 개를 찾았어요 .,She found the dog which was lost in six days .
64,그녀는 7월 11일 금요일에 도착해요 .,It is on Friday July 11th when she arrives .
65,그녀는 7월 7일에 세상을 떠났어요 .,She passed away on the 7th of July .
66,그녀는 7월이 되어야 그만둘 거에요 .,She won t quit until July .
67,그녀는 7일 후에 계를 받을 거야 .,She will take lodge money after 7 days .
68,그녀는 8월 말까지 삼성에서 근무한다고 합니다 .,She will have worked for Samsung by the end of August .
69,그녀는 9시 30분에 마친다고 말했어 .,She said she would be done by half past nine .
70,그녀는 9월 2일 가지 여기에 있을 거에요 .,She will stay here until September 2nd .
71,그녀는 9월에 네덜란드를 방문할 예정입니다 .,She is planning to visit the Netherlands in September .
72,그녀는 A 중학교 3학년의 부반장이고 그녀의 꿈은 배우입니다 .,And she wants to be a actress someday .
73,그녀는 A에서 커피 농사를 크게 짓고 있습니다 .,She owns a big coffee farm in A .
74,그녀는 A와 B 중 어떤 것을 사용해야 할지 고민했습니다 .,She was thinking about which one to use between A and B .
75,그녀는 L C를 열었습니다 .,She has opened L C .
76,그녀는 SS 사이즈를 입어요 .,She wears a size ss .
77,그녀는 가게에 가서 돼지저금통을 샀습니다 .,She went to a store to buy a piggy bank .
78,그녀는 가게에 들어가 보쌈 정식을 주문했어요 .,She enters the restaurant and ordered Bossam set .
79,그녀는 가게에서 멀리 떨어진 곳에 삽니다 .,She lives far from the store .
80,그녀는 가까스로 문제를 해결했습니다 .,She managed to deal with the problem .
81,그녀는 가까이하기엔 너무 먼 사람이야 .,She is too far away to get close to .
82,그녀는 가끔 나에게 양보를 잘해줘요 .,She sometimes yields to me .
83,그녀는 가끔 변덕스러워요 .,She is capricious once a while .
84,그녀는 가는 곳마다 말썽을 피우거든요 .,She makes trouble wherever she goes .
85,그녀는 가능한 한 과일을 많이 먹으려고 해요 .,She tries to eat as many fruits as possible .
86,그녀는 가능한 한 빨리 체크인하고 싶어 합니다 .,She would like to check in as soon as possible .
87,그녀는 가래와 기침이 심해요 .,She coughs a lot and has heavy phlegm .
88,그녀는 가르치는 것에 상당한 책임감을 느끼고 있어요 .,She holds a lot of responsibility regarding teaching .
89,그녀는 가르치는데 재능이 있습니다 .,She is talented in teaching .
90,그녀는 가방 안에서 큰 팬을 꺼냈어요 .,She pulled a big pan out of her bag .
91,그녀는 가방을 멜 때 통증이 증가했었다 .,When she carried her bag her pain got increased .
92,그녀는 가방을 옆으로 메고 있습니다 .,She is wearing a bag on her side .
93,그녀는 가방을 자기 어깨에 멨습니다 .,She put her bag on her shoulder .
94,그녀는 가방을 하나 사고 싶어 했어요 .,She wanted to buy a bag .
95,그녀는 가장 아름다운 여자입니다 .,She is the most beautiful woman .
96,그녀는 가족 모두와 함께 한국으로 돌아왔어 .,She came back to Korea with her whole family .
97,그녀는 가족들과 저녁을 먹으러 갔습니다 .,She went out for dinner with her family .
98,그녀는 가족에게 다정하고 고난을 잘 이겨내요 .,She is kind to her family and she overcomes hard time well .
99,그녀는 가족을 위해 일찍 일어나 요리를 합니다 .,She wakes up early to cook for her family .
100,그녀는 가족을 잃은 후에 그것의 중요함을 깨달았다 .,She realized the importance of family after she lost hers .
101,그녀는 각 챕터를 정확하게 설명해줬어요 .,She described each chapter with clarity .
102,그녀는 간단한 수술을 할 예정이에요 .,She is going to have a simple surgery .
103,그녀는 간통죄를 저질렀어요 .,She committed adultery .
104,그녀는 감기에 걸리고 말았습니다 .,She has caught a cold .
105,그녀는 감기에도 걸리지 않았어요 .,Even she didn t catch a cold .
106,그녀는 감옥이나 캠프에 가야 했어요 .,She had to go to either jail or camp .
107,그녀는 감자를 삶아서 니쿠자가를 만들었어요 .,She boiled potatoes to cook nikujaga .
108,그녀는 감정 표현을 잘하는 좋은 사람이야 .,She is a nice person and she is good at expressing her feelings .
109,그녀는 감정이 풀리지 않는지 더 크게 울었어 .,She cried louder as if she couldn t get over her feelings .
110,그녀는 감정이 풍부해서 자주 울어요 .,She often cried because she is very emotional .
111,그녀는 감정이 풍부해서 티비를 보면서 자주 웁니다 .,She cries often when she watches TV because she is emotional .
112,그녀는 감정적인 사람이에요 .,She is an emotional person .
113,그녀는 갑자기 그곳에 가게 되었습니다 .,She was suddenly taken to that place .
114,그녀는 갑판 위에 멍하니 서 있어 .,She is vacantly standing on the deck .
115,그녀는 강도에 맞서 싸우지 말아야 했어요 .,She should not have fought against the thief .
116,그녀는 강사의 관심에 짜증이 나 있습니다 .,She is frustrated at the instructor s interest .
117,그녀는 강속구를 던지는 투수입니다 .,She is a fastball pitcher .
118,그녀는 강아지 밥으로 먹다 남긴 것을 줘요 .,She feeds her dog with the leftovers .
119,그녀는 강아지들에게 좋은 엄마예요 .,She is a good mother of puppies .
120,그녀는 강아지를 무서워해서 만질 수 없습니다 .,She is afraid of dogs so she can t touch them .
121,그녀는 강한 성격을 지니고 있어요 .,She has a strong character .
122,그녀는 강한 인상을 심어 줘요 .,She comes on strong .
123,그녀는 개발로부터 보유한 샘플을 보냈습니다 .,She sent you the sample that she owned from development .
124,그녀는 개성이 강해 보였습니다 .,She seems to like having a strong personality .
125,그녀는 개의치 않아 했지만 많은 사람들이 격노했어요 .,She didn t care but a lot of people got angry .
126,그녀는 거대하게 뚱뚱하지만 에스페란사는 그녀의 아름다움을 발견합니다 .,She is incredibly fat but Esperanza finds her beautiful .
127,그녀는 거리의 병자를 고칠 수 있습니다 .,She can heal the ill people on streets .
128,그녀는 거식증으로 괴로워하고 있어요 .,She suffers from anorexia .
129,그녀는 거친 사람이에요 .,She is a sloppy person .
130,그녀는 겉모습뿐만 아니라 마음마저 치료해주는 좋은 의사입니다 .,She is a considerate doctor who heals not only appearance but the mind .
131,그녀는 겉보기에 훌륭한 숙녀 같아요 .,She s a seemingly nice lady .
132,그녀는 게속해서 치과에 다녔습니다 .,She kept on going to the dentist .
133,그녀는 게임에서 승리를 했습니다 .,She won the game .
134,그녀는 게임을 끝내고 잠자려고 누웠어 .,After finishing the game she lay down to sleep .
135,그녀는 게임을 잘 하지 못 합니다 .,She s not good at playing games .
136,그녀는 게임을 해서 재미있었다고 했어요 .,She said that she had a fun time because of the game .
137,그녀는 겨울의 추운 날씨가 좋다고 했어요 .,She said she liked the cold weather in winter .
138,그녀는 겨울의 춥지만 맑은 날씨가 좋다 했습니다 .,She said she liked winter s cold but clear weather .
139,그녀는 결정을 내릴 때는 매우 신중합니다 .,She is too prudent when she makes her decision .
140,그녀는 결정하는데 오래 걸립니다 .,It takes a long time for her to make decisions .
141,그녀는 결핵을 앓고 있어요 .,She is suffering from tuberculosis .
142,그녀는 결혼 중매인이에요 .,She is a matchmaker .
143,그녀는 결혼은 했고 아이들은 없습니다 .,She was married and doesn t have children .
144,그녀는 결혼을 두 번 했어요 .,She married twice .
145,그녀는 결혼했고 아이가 있어요 .,She is married and has a child .
146,그녀는 결혼했고 중국에 살고 있습니다 .,She is married and lives in China .
147,그녀는 결혼했을 것이에요 .,She might be married .
148,그녀는 결혼했지만 아직 아이들은 없습니다 .,She is married but she doesn t have any children yet .
149,그녀는 결혼했지만 남편이 암으로 사망했습니다 .,She is married but her husband died of cancer .
150,그녀는 경기에서 2등을 하게 되어 실망했습니다 .,She was disappointed to get second place in the game .
151,그녀는 경력이 꽤 오래되었습니다 .,She has a quite long career .
152,그녀는 계속해서 너 때문이라고 말할 것이에요 .,She will keep saying that it was your fault .
